Crash Event,19:20:27:0197,19:20:28:0411,1214ms,1786,0%
Crash Event,19:20:28:0443,19:20:28:0549,106ms,2894,0%
Crash Event,19:20:28:0560,19:20:28:0661,101ms,2899,0%
Crash Event,19:20:28:0677,19:20:28:0843,166ms,2834,0%
Crash Event,19:20:28:0844,19:20:28:0947,103ms,2897,0%
Crash Event,19:20:28:0949,19:20:29:0044,95ms,2905,0%
Crash Event,19:20:29:0044,19:20:29:0144,100ms,2900,0%
Crash Event,19:20:29:0161,19:20:29:0244,83ms,2917,0%
Crash Event,19:20:29:0251,19:20:29:0333,82ms,2918,0%
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
Failed Braking Attempt,N/A,N/A,N/A,-300,N/A
